year,Statistic,Value,value_last,pct_change,Percent Change,Year,y_midpoint,Growth
2013,Average Household Size,1.9,NA,NA,NA,2013,NA,NA
2013,Average Family Size,2.8653846153846154,NA,NA,NA,2013,NA,NA
2014,Average Household Size,1.9,1.9,0, 0.00 %,2014,1.9,NA
2014,Average Family Size,2.8085106382978724,2.8653846153846154,-1.9848636298729108, -1.98 %,2014,2.836947626841244,0
2015,Average Household Size,1.82,1.9,-4.210526315789466,-4.21 %,2015,1.8599999999999999,0
2015,Average Family Size,2.9651162790697674,2.8085106382978724,5.576109936575048,  5.58 %,2015,2.88681345868382,1
2016,Average Household Size,1.84,1.82,1.0989010989010999, 1.10 %,2016,1.83,1
2016,Average Family Size,2.8275862068965516,2.9651162790697674,-4.638269100743748, -4.64 %,2016,2.8963512429831595,0
2017,Average Household Size,1.88,1.84,2.1739130434782505, 2.17 %,2017,1.8599999999999999,1
2017,Average Family Size,2.647727272727273,2.8275862068965516,-6.360864745011076, -6.36 %,2017,2.7376567398119125,0
2018,Average Household Size,1.83,1.88,-2.659574468085097,-2.66 %,2018,1.855,0
2018,Average Family Size,2.9146341463414633,2.647727272727273,10.080602951952255, 10.08 %,2018,2.781180709534368,1
2019,Average Household Size,1.88,1.83,2.73224043715846, 2.73 %,2019,1.855,1
2019,Average Family Size,3.329113924050633,2.9146341463414633,14.220645092950587, 14.22 %,2019,3.121874035196048,1
2020,Average Household Size,1.93,1.88,2.659574468085109, 2.66 %,2020,1.9049999999999998,1
2020,Average Family Size,2.7452830188679247,3.329113924050633,-17.53712604921443,-17.54 %,2020,3.037198471459279,0
2021,Average Household Size,2.04,1.93,5.699481865284979, 5.70 %,2021,1.9849999999999999,1
2021,Average Family Size,2.989795918367347,2.7452830188679247,8.906655445683425,  8.91 %,2021,2.867539468617636,1
2022,Average Household Size,2.04,2.04,0, 0.00 %,2022,2.04,NA
2022,Average Family Size,2.9902912621359223,2.989795918367347,0.016567812054736862,  0.02 %,2022,2.9900435902516347,1
2023,Average Household Size,2.15,2.04,5.392156862745092, 5.39 %,2023,2.0949999999999998,1
2023,Average Family Size,3.22,2.9902912621359223,7.681818181818188,  7.68 %,2023,3.1051456310679613,1
2024,Average Household Size,2.05,2.15,-4.651162790697678,-4.65 %,2024,2.0999999999999996,0
2024,Average Family Size,3.101010101010101,3.22,-3.695338477947173, -3.70 %,2024,3.1605050505050505,0
